ativo;date;evento;valor;irrf;moeda;corretora
AFHI11;21/07/2023;RENDIMENTO;33,00;;BRL;CLEAR
AFHI11;21/07/2023;RENDIMENTO;2,20;;BRL;TORO
COPH34;20/07/2023;DIVIDENDO;1,96;;BRL;CLEAR
TSMC34;19/07/2023;DIVIDENDO;3,21;;BRL;CLEAR
VGIA11;19/07/2023;RENDIMENTO;18,72;;BRL;CLEAR
VGIA11;19/07/2023;RENDIMENTO;0,52;;BRL;TORO
IRDM11;18/07/2023;RENDIMENTO;96,24;;BRL;CLEAR
IRDM11;18/07/2023;RENDIMENTO;0,87;;BRL;TORO
CSUD3;17/07/2023;JSCP;5,36;;BRL;CLEAR
CVBI11;17/07/2023;RENDIMENTO;48,30;;BRL;CLEAR
BIDB11;14/07/2023;RENDIMENTO;8,40;;BRL;CLEAR
BIDB11;14/07/2023;RENDIMENTO;0,70;;BRL;TORO
DEVA11;14/07/2023;RENDIMENTO;111,60;;BRL;CLEAR
DEVA11;14/07/2023;RENDIMENTO;0,60;;BRL;TORO
HCTR11;14/07/2023;RENDIMENTO;73,50;;BRL;CLEAR
JURO11;14/07/2023;RENDIMENTO;51,25;;BRL;CLEAR
JURO11;14/07/2023;RENDIMENTO;3,75;;BRL;TORO
MILS3;14/07/2023;JSCP;2,78;;BRL;CLEAR
RBHG11;14/07/2023;RENDIMENTO;63,80;;BRL;CLEAR
RBHG11;14/07/2023;RENDIMENTO;1,10;;BRL;TORO
RBHY11;14/07/2023;RENDIMENTO;202,80;;BRL;CLEAR
ROMI3;14/07/2023;JSCP;49,09;;BRL;CLEAR
ROMI3;14/07/2023;JSCP;0,18;;BRL;TORO
SDIL11;14/07/2023;RENDIMENTO;3,32;;BRL;CLEAR
URPR11;14/07/2023;RENDIMENTO;67,00;;BRL;CLEAR
URPR11;14/07/2023;RENDIMENTO;1,34;;BRL;TORO
KNSC11;13/07/2023;RENDIMENTO;16,00;;BRL;CLEAR
AURA33;12/07/2023;DIVIDENDO;46,60;;BRL;CLEAR
TIMS3;12/07/2023;JSCP;2,04;;BRL;CLEAR
STMN34;11/07/2023;DIVIDENDO;0,72;;BRL;CLEAR
C1BS34;07/07/2023;DIVIDENDO;0,82;;BRL;CLEAR
HSML11;07/07/2023;RENDIMENTO;0,74;;BRL;CLEAR
MACY34;07/07/2023;DIVIDENDO;1,63;;BRL;CLEAR
PTBL3;07/07/2023;JSCP;2,71;;BRL;CLEAR
PTBL3;07/07/2023;DIVIDENDO;5,21;;BRL;CLEAR
PTBL3;07/07/2023;DIVIDENDO;0,13;;BRL;TORO
PTBL3;07/07/2023;JSCP;0,06;;BRL;TORO
RURA11;07/07/2023;RENDIMENTO;8,40;;BRL;CLEAR
BBDC4;06/07/2023;JSCP;0,17;;BRL;TORO
AMBP3;05/07/2023;DIVIDENDO;17,43;;BRL;CLEAR
T1RO34;05/07/2023;DIVIDENDO;1,98;;BRL;CLEAR
BBDC4;03/07/2023;JSCP;0,01;;BRL;TORO
ITSA4;03/07/2023;JSCP;4,00;;BRL;CLEAR
BBAS3;30/06/2023;JSCP;86,35;;BRL;CLEAR
CPLE3;30/06/2023;JSCP;10,83;;BRL;CLEAR
CPLE3;30/06/2023;JSCP;5,41;;BRL;TORO
JBSS3;29/06/2023;DIVIDENDO;37,00;;BRL;CLEAR
JHSF3;28/06/2023;DIVIDENDO;62,32;;BRL;CLEAR
JHSF3;28/06/2023;DIVIDENDO;0,23;;BRL;TORO
QCOM34;28/06/2023;DIVIDENDO;2,37;;BRL;CLEAR
SOMA3;28/06/2023;DIVIDENDO;5,07;;BRL;CLEAR
SNAG11;23/06/2023;RENDIMENTO;74,40;;BRL;CLEAR
SNCI11;23/06/2023;RENDIMENTO;47,30;;BRL;CLEAR
AFHI11;22/06/2023;RENDIMENTO;31,90;;BRL;CLEAR
AFHI11;22/06/2023;RENDIMENTO;2,20;;BRL;TORO
FESA4;22/06/2023;JSCP;9,01;;BRL;CLEAR
